nice to see you here 🦜🦾,"This data is maintained @sureailabs, @proximasan, @EErratica, and @KyrickYoung as part our ongoing Image Synthesis Style Studies project, started in Feb 2022. Its purpose is to document artist names and other prompt modifier keywords (see tabs) that are recognized by AI text-to-image synthesis models, such as the CLIP models used in Disco Diffusion and Stable Diffusion. We are not afilliated with the development or training of these models.
Bellows,George,Yes,x,Yes,x,"realism, impressionism",1925,sureailabs,x,x,14,
Benglis,Lynda,Yes,x,Yes,x,"sculpture, installation, colorful, abstract",N/A,proximasan,x,x,12,
Benjamin-Constant,Jean-Joseph,Yes,x,Yes,x,"romanticism, scene, character",1902,proximasan,x,x,12,
Benois,Albert,Yes,x,Yes,x,"landscape, watercolor, romanticism",1936,sureailabs,x,x,13,
Benois,Alexandre,Yes,x,Yes,x,"scene, landscape, watercolor",1960,proximasan,x,x,12,
Benson,Ambrosius,Yes,x,Yes,x,"renaissance, portrait, scene",1550,proximasan,x,x,12,
Benson,Frank Weston,Yes,x,Yes,x,"impressionism, scene",1951,proximasan,x,x,12,
Benton,Thomas Hart,Yes,x,Yes,x,"realism, scene",1975,sureailabs,x,x,15,
Berenstain,Stan,Yes,x,No,x,"children's illustration, cartoon",2005,sureailabs,x,x,13,
Bergh,Richard,Yes,x,Yes,x,"landscape, portrait, romanticism",1919,proximasan,x,x,12,
Bergland,Don,Yes,x,Yes,x,surrealism,N/A,sureailabs,x,x,15,
Bergsma,Jody,Yes,x,Yes,x,"watercolor, fantasy, detailed, whimsical",N/A,sureailabs,x,x,15,
Berkey,John,Yes,x,Yes,x,"fantasy, space, sci-fi",2008,proximasan,x,x,1,
Bernard,Émile,Yes,x,Yes,x,"impressionism, scene",1941,sureailabs,x,x,3,
Bernhard,Ruth,Yes,x,Yes,x,"monochromatic, photography, nudity",2006,sureailabs,x,x,8,
Bernini,Gian Lorenzo,Yes,x,Yes,x,"baroque, sculpture",1680,sureailabs,x,x,12,
Bertoia,Harry,Yes,x,Yes,x,"sculpture, texture",1978,sureailabs,x,x,12,
Beskow,Elsa,Yes,x,Yes,x,"whimsical, art nouveau, beatrix potter",N/A,sureailabs,x,x,5,
Beuckelaer,Joachim,Yes,x,Yes,x,"scene, still life",1574,sureailabs,x,x,12,
Beuys,Joseph,Yes,x,Yes,x,"abstract, figurativism, photography, monochromatic",1986,sureailabs,x,x,12,
Bevacqua,Marta,Yes,x,Yes,x,"photography, portrait, scene",N/A,sureailabs,x,x,14,
Bianchi,Simone,Yes,x,No,x,comics,N/A,sureailabs,x,x,14,CLIP recognition is weak
Biasi,Alberto,Yes,x,No,x,"abstract, angular",N/A,sureailabs,x,x,14,
Bierstadt,Albert,Yes,x,Yes,x,"landscape, romanticism",1902,KyrickYoung,x,x,1,
Biggers,John T.,Yes,x,Yes,x,"melanin, abstract, symbolism, vibrant",2001,sureailabs,x,x,13,
Bilal,Enki,Yes,x,Yes,x,"detailed, sci-fi, comics",N/A,sureailabs,x,x,5,
Bilibin,Ivan,Yes,x,Yes,x,"art nouveau,",1942,EErratica,x,x,1,
Billingham,Richard,Yes,x,Yes,x,"photography, scene",N/A,sureailabs,x,x,15,
Billout,Guy,Yes,x,Yes,x,"clean, surrealism",N/A,sureailabs,x,x,3,
Billy,Butcher,Yes,x,Yes,x,"graphic design, pop art, vibrant",N/A,sureailabs,x,x,14,
Bing,Ilse,Yes,x,Yes,x,"photography, monochromatic",1998,sureailabs,x,x,14,
Bing,Xu,Yes,x,Yes,x,installation,N/A,sureailabs,x,x,14,
Bingham,George Caleb,Yes,x,Yes,x,"luminism, scene",1879,sureailabs,x,x,14,
Binkley,Ed,Yes,x,Yes,x,"fantasy,",N/A,sureailabs,x,x,9,
Birch,Simon,Yes,x,Yes,x,"figurativism, messy, portrait",N/A,sureailabs,x,x,10,
Birch,Thomas,Yes,x,Yes,x,"romanticism, seascape, landscape",1766,sureailabs,x,x,15,
Birrell,George,Yes,x,Yes,x,"cityscape, vibrant",N/A,sureailabs,x,x,15,
Bisley,Simon,Yes,x,Yes,x,"comics, dark, detailed",N/A,sureailabs,x,x,2,
Bissell,Robert,Yes,x,Yes,x,"animals, surrealism, nature, whimsical, children's illustration",N/A,sureailabs,x,x,15,
Blacklock,William Kay,Yes,x,Yes,x,"watercolor, landscape, scene",1924,sureailabs,x,x,15,
Blackman,Charles,Yes,x,Yes,x,"scene, vibrant, high contrast",2018,sureailabs,x,x,3,
Blackmon,Julie,Yes,x,Yes,x,"scene, photography",N/A,sureailabs,x,x,8,
Blackshear,Thomas,Yes,x,Yes,x,"melanin, character, scene",N/A,proximasan,x,x,7,
Blackwood,Algernon,Yes,x,Yes,x,"personality, dark",1951,sureailabs,x,x,11,
Blair,Mary,Yes,x,Yes,x,"whimsical, high contrast, vibrant",1978,KyrickYoung,x,x,2,
Blake,Peter,Yes,x,Yes,x,"pop art, collage",N/A,sureailabs,x,x,15,
Blake,Quentin,Yes,x,Yes,x,"whimsical, watercolor",N/A,sureailabs,x,x,5,
Blake,William,Yes,x,Yes,x,"romanticism, dark, scene",1827,KyrickYoung,x,x,2,
Blakelock,Ralph,Yes,x,Yes,x,"romanticism, landscape",1919,sureailabs,x,x,15,
Blanchard,Antoine,Yes,x,Yes,x,"impressionism, streetscape",1988,sureailabs,x,x,7,
Blanche,John,Yes,x,Yes,x,"fantasy, detailed, sci-fi",N/A,sureailabs,x,x,5,
Blanding,Don,Yes,x,Yes,x,"art deco, high contrast",1957,sureailabs,x,x,15,
Bleda,Elsa,Yes,x,Yes,x,"photography, dark, digital, streetscape",N/A,sureailabs,x,x,13,
Blish,Carolyn,Yes,x,Yes,x,"scene, landscape, watercolor",N/A,sureailabs,x,x,15,
Blossfeldt,Karl,Yes,x,Yes,x,"monochromatic, photography",1932,sureailabs,x,x,6,
Bluhm,Norman,Yes,x,Yes,x,"abstract, expressionism, messy",1999,sureailabs,x,x,10,
